Name,Room Type,Days of Stay,Price per Night ($),# of tenants,Total Reviews,Experience Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Overall Rating,Bayesian Rating
S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,Entire home/apt,180,280.0,3,2,8.0,7.0,8.0,9.0,9.0,41.0,48.38692887702207
S1-VIBRANT DOWNTOWN 1-BR + den!,Entire home/apt,180,180.0,1,1,10.0,10.0,10.0,10.0,8.0,48.0,48.40862861891803
comfy stay in clean victorian house,Entire home/apt,2,70.0,1,271,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.75511337014218
Deluxe Junior One Bedroom (2 Beds),Entire home/apt,30,60.0,1,98,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.57568522939823
Yaletown Deluxe Studio Condominium,Entire home/apt,30,60.0,1,136,9.5,10.0,10.0,10.0,10.0,49.5,48.59513881496573
Artist's Character home in 'hip' Commercial Drive,Private room,2,95.0,1,56,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.502118070115124
"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",Entire home/apt,29,278.0,6-10,285,9.4,9.0,10.0,10.0,10.0,48.4,48.406463330879255
136 Lord Stanley Great price!,Entire home/apt,30,55.0,1,11,8.9,9.0,10.0,9.0,10.0,46.9,48.38457767361465
Family-Friendly Kitsilano House with Mountain Views,Entire home/apt,5,560.0,6-10,36,9.700000000000001,9.0,10.0,10.0,10.0,48.7,48.42424179705252
*Best choice in downtown-5 Stars * -3,Private room,30,50.0,1,58,9.1,9.0,10.0,9.0,10.0,47.1,48.30377885325369
2 Bdrm in Strathcona,Entire home/apt,3,105.0,3,261,9.5,10.0,10.0,10.0,9.0,48.5,48.434908747933534
One bedroom suite in Vancouver,Private room,180,55.0,1,91,9.700000000000001,9.0,10.0,10.0,10.0,48.7,48.444383498463026
Bright & Tidy Character Apartment,Private room,30,50.0,1,73,9.4,9.0,10.0,10.0,10.0,48.4,48.40832758413967
Cozy space in East Vancouver,Entire home/apt,2,72.0,1,37,9.8,10.0,10.0,10.0,10.0,49.8,48.48286233811539
Cool cozy suite on The Drive,Entire home/apt,3,149.0,3,193,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.70060909279843
Stunning Suite Heart of DT w/Parking and Office,Entire home/apt,90,130.0,1,101,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.580105864145025
Luxury apartment Downtown Vancouver,Entire home/apt,30,287.0,3,3,10.0,10.0,10.0,10.0,10.0,50.0,48.41642221705663
Chic 1 Bd +Den Robson Street Suite,Entire home/apt,180,80.0,1,49,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.49130910596716
Clean New Kits 3 bedroom/ 2bath!,Entire home/apt,30,184.0,5,38,9.8,10.0,10.0,10.0,10.0,49.8,48.484743963346645
120 501 Pacific,Entire home/apt,181,88.0,1,2,8.6,9.0,10.0,6.0,8.0,41.6,48.38873610593774
224 Yaletown Park.  Long term stay welcome,Entire home/apt,90,80.0,1,7,9.700000000000001,9.0,10.0,10.0,10.0,48.7,48.41228815297856
Close to Anywhere: Location Location Location,Entire home/apt,1,95.0,1,55,9.4,9.0,10.0,10.0,9.0,47.4,48.33182813715851
*Best choice in downtown-5 Stars* -1,Private room,30,50.0,1,64,8.9,9.0,10.0,10.0,10.0,47.9,48.364353683667574
Ultra Modern Apartment in Yaletow,Entire home/apt,30,97.0,1,111,9.5,9.0,9.0,10.0,10.0,47.5,48.278681467454916
Private space in heritage home in lovely area,Entire home/apt,4,125.0,3,14,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.43390647092109
AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,Entire home/apt,3,106.0,1,104,9.8,10.0,10.0,10.0,10.0,49.8,48.59806889600869
QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,Entire home/apt,1,94.0,2,69,9.5,10.0,10.0,10.0,10.0,49.5,48.512203521672575
Stunning 1 Bedroom Laneway,Entire home/apt,31,104.0,2,86,9.8,10.0,10.0,10.0,10.0,49.8,48.56914542024419
Luxury 2 BDR With Wrap Around Deck,Entire home/apt,30,450.0,5,8,9.8,10.0,10.0,10.0,10.0,49.8,48.42585190200396
Renovated Character Home - 3 Bdrm,Entire home/apt,7,399.0,5,42,9.700000000000001,10.0,10.0,10.0,9.0,48.7,48.426592009009454
Modern 2 bdrm on trendy Main St.,Entire home/apt,2,150.0,3,129,9.600000000000001,9.0,10.0,10.0,10.0,48.6,48.44035496124229
One Bedroom & Secured Underground Parking,Entire home/apt,30,79.0,1,14,8.5,8.0,10.0,9.0,10.0,45.5,48.34899522831754
244 1 BED & DEN. WATER VIEW! 3 MONTH EXTENDED STAY,Entire home/apt,90,98.0,1,5,9.600000000000001,9.0,10.0,10.0,10.0,48.6,48.41067582360218
Modern new room with private entry!,Private room,3,64.0,1,255,9.4,10.0,10.0,10.0,10.0,49.4,48.684755479108674
"114 Studio ""West of Denman""",Entire home/apt,30,56.0,1,8,8.8,8.0,10.0,10.0,10.0,46.8,48.39003100648158
Deluxe Kitsilano Beach Waterfront 2 Bedroom House,Entire home/apt,5,450.0,4,73,9.8,10.0,10.0,10.0,10.0,49.8,48.547375203187286
Lakeside Cottage with Stunning View,Entire home/apt,2,155.0,3,136,9.8,10.0,10.0,10.0,10.0,49.8,48.6462666345146
Private top floor on vibrant Main St,Entire home/apt,1,88.0,3,239,9.3,9.0,10.0,10.0,10.0,48.3,48.380267230125035
In the heart of the city,Entire home/apt,30,72.0,1,123,8.6,9.0,9.0,9.0,10.0,45.6,47.96907105011803
Garden Suite-Quiet/Private&Central,Entire home/apt,30,75.0,1,131,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.60595305717864
"Amazing 2000sqft Downtown loft, 3 patios + Parking",Entire home/apt,90,250.0,2,4,10.0,10.0,10.0,10.0,10.0,50.0,48.41879996147546
"Bright, Modern Space on Beautiful Park",Entire home/apt,3,125.0,3,61,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.518147682354986
Your Home Away from Home 1 BR Suite,Entire home/apt,1,79.0,2,254,8.5,8.0,10.0,9.0,9.0,44.5,47.32524102002473
2 Bedroom Garden Flat - Main Street,Entire home/apt,2,140.0,3,260,9.8,10.0,10.0,10.0,10.0,49.8,48.801432510133026
Master bedroom + private bathroom + secure parking,Private room,3,100.0,1,101,9.8,10.0,10.0,10.0,9.0,48.8,48.460970870698105
Kitsilano Studio Stays,Entire home/apt,30,62.0,1,12,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.430446252733915
Film Industry loves this house! 5 min to VGH,Entire home/apt,2,285.0,4,35,9.8,10.0,10.0,10.0,10.0,49.8,48.479082890018155
Cozy Retreat - Strathcona,Entire home/apt,2,125.0,1,242,9.8,10.0,10.0,10.0,10.0,49.8,48.78154952914011
156 One Bedroom in Downtown at The Electra,Entire home/apt,30,85.0,1,3,9.3,10.0,9.0,10.0,10.0,48.3,48.408753044124296
Tinseltown Apartment,Entire home/apt,30,59.0,1,31,9.4,9.0,10.0,10.0,9.0,47.4,48.36409924147569
Commercial Drive Garden Suite,Entire home/apt,31,97.0,1,11,9.3,9.0,10.0,10.0,10.0,48.3,48.407460288770665
Garden Studio off Commercial Drive!,Entire home/apt,2,95.0,1,207,9.5,10.0,10.0,10.0,10.0,49.5,48.66906878520443
Stylish and Modern 2Bed West End Suite!,Entire home/apt,30,187.0,3,50,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.499888728009346
Sublet on Cherry-Blossom Street,Entire home/apt,30,116.0,3,7,9.700000000000001,9.0,10.0,10.0,10.0,48.7,48.41228815297856
CHIC SANCTUARY IN THE HEART OF GASTOWN,Entire home/apt,180,139.0,1,100,9.5,10.0,10.0,10.0,10.0,49.5,48.55238946764128
Yaletown 1 Br Condo Monthly Only,Entire home/apt,30,125.0,2,1,10.0,10.0,10.0,10.0,10.0,50.0,48.411645210169915
Family friendly & centrally located,Entire home/apt,2,129.0,3,106,9.5,9.0,10.0,10.0,10.0,48.5,48.421771841592
"Charming ""Kitsilano Family Place""",Private room,2,110.0,3,258,9.200000000000001,9.0,10.0,10.0,10.0,48.2,48.35056605906811
GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,Entire home/apt,120,120.0,1,3,10.0,10.0,10.0,10.0,10.0,50.0,48.41642221705663
Amazing View from a Modern Loft,Entire home/apt,30,160.0,1,53,9.700000000000001,10.0,10.0,10.0,9.0,48.7,48.43079828579393
Sunny family-friendly house in Kits,Entire home/apt,5,575.0,6-10,27,9.8,10.0,10.0,10.0,10.0,49.8,48.46374568119399
Experience Vancouver on the Drive!,Entire home/apt,30,189.0,5,49,9.3,8.0,10.0,10.0,10.0,47.3,48.33279996391372
Beautiful Kitsilano - Covid-19 Safe,Entire home/apt,2,99.0,1,6,9.3,10.0,9.0,10.0,10.0,48.3,48.408264632249484
"Kitsilano Point, VERY CLEAN, welcoming and bright",Entire home/apt,30,175.0,3,240,9.9,10.0,10.0,10.0,10.0,49.9,48.8058988629076
